문장,혐오 여부,문자 개수,y_pred
소주병이 뭘의미 하는걸까?,0,14,1
몸매가 애술임...,1,10,0
입금자 이름 신중하게 보냈노 어서 12시가 되길 바라고있노 희희 박정희,1,39,0
우웩,0,2,1
"행시 중 최고 - 재경직

엘리트 중의 엘리트 인데

문 정권의 거짓말과 가면을 보여준다.

말로만 정의

뒤로는 나쁜 짓.

신재민 화이팅 !!!",0,92,1
우와 !! 이거 오늘 첨 알았다. 암투병중 아들이 마지막으로 연 가게..그걸 아버지가 키워줄라고 일 봐준거고..아들은 얼마나 회한의 시간을 보내며 인생을 마감했을까? 진짜 맷퇴지같은 맘충은 사람으로 인식하면 안된다이기. 이런 것들 상대로는 서비스한다는 마인드는 버려야될듯. 개대지를 상대한다지마 개사료도 아깝다..내막을 보니 상관도 없는 내가 가슴이 아프네..휴,0,202,1
꿀잼 제조하노,0,7,1
"우파에도 이런사람들이 필요하다
대북 휴민트같은 존재가 우리나라에 다시 필요함",0,43,1
개콘보다 잼나네,0,8,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽닥,1,16,0
결혼할 나이가 되니 깐 남의 이야기가 아니네 완죤 공감,1,30,0
"슬비 예쁘지 우현,성열 잘생겼지 그럼됬지",1,22,0
일리네어 11:11 한시간뒤 발매,1,18,0
우리 나라랑 미묘하게 비슷하다...,1,19,0
반대편에 1초라도 앉는게 힘들었을텐데 대단하노ㅋㅋㄱㅋㅋㄱㅋ좆팔ㅋㄱㅋ,1,37,0
문지상 죽으면 안되는데ㅜㅜ,1,14,0
첨에 보고 뭔소린가 했는데 밑바닥보니 역시 ㅋㅋㅋㅋ,0,28,1
공작은 그냥저냥 볼만했는데,0,14,1
젭스ㅋㅋ,0,4,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,14,0
인생은 짧고 벌레는 영원하기 때문이지,0,20,1
평등은 없다 여성만을 위한 여성이 귀족 남성이 노예인 시대,0,32,1
웃기는거나 신경써라,0,10,1
"Next stop.jonggak, jonggak station!",0,35,1
dl wkrvnadms sork qhkTejs rj wnsrjdp ch,1,39,0
그들이 애국하는 이유.,1,12,0
니들 사람사는 인생책한번 읽어봐야한다. 어떤 일본여성이 자기 어린시절 이야기 쓰던 책이었는데 애비가 성실한 샐러리맨이었는데 엄마가 어떤 외간남자랑 모텔들어간거 자기가 등굣길에 보고선 애비한테 알려주고 가정파탄난 이야기였는데 주인공인 그 작가여성은 애미가 그 이후로 더럽게 싫고 멍청한아빠는 왜 저러고 이혼도 안하고 사는지 더럽게싫어서 혼자 마음의문을닫고 애비애미한테 한마디도 안하며 그림을 줄창그렸더란다. 그러자가 어느날 애비가 자기한테 다가와서 엄마싫지? 그걸 참고사는 아빠도싫고...그렇지? 난 인간이 싫단다...이 한마디때문에 그때부터 아버지와 추억을 쌓았다고 아버지랑 유년시절 추억을쌓다가 아버지가 병에걸려돌아가시고 애미는 아직도 외간남자랑 정신못차리는 모습을보고 나는 저렇게 살지말자 다짐하며 한 가정의 엄마가 되었고 자기자신은 아이들을 잘키우고 있다라고 끝난 책이었다 보면서 인생은 참으로 비극이다라는 생각밖에안들더라 그사람이 좋게살던 나쁘게살았던,0,480,1
"@민주화당한근혜찡 게이 말이 맞는 말이다 그러나 말을 해야할 시기에 용기있는 말을 할 수 있는 사람이 필요하지
지식의 깊이가 깊을 수록 자신의 지식이 완벽하지 않고 무지를 자랑할 수 있다는 것을 깨닫게 되어서
말이 없어지고 겸손해 지고 성실해 지고 감사하는 것 같다",0,150,1
불심도 부정앞에선 무너지는구나,1,16,0
아기가 자꾸 울어서 데리고 나왔어요. ,0,21,1
64년도ㅋㅋ대단하다,0,10,1
본인이 만약 철민이라면 영수를 안때릴수가 있을까? 나는 솔직히 자신없다 때려도 화가 안풀릴꺼 같은데...,1,58,0
예쁘다..,0,5,1
@도브바디워시 수트는.너무 추울꺼 같아서..,0,24,1
인간이 넘 많아서 그래..문제는,1,17,0
개이버,1,3,0
위의 증거들을 보고도 헛소리 하는것들은 뇌가 상한듯,1,28,0
한국의 양들은 과도하게 순종적이다,1,18,0
"원래 순간만 참으면됨. 모두 그 순간을 못 참아서 낭패를

봄",0,36,1
경계를 널리 평범히 넘는 시키.,0,17,1
이거 엿날에 했던거임......난 알지롱..,1,24,0
솔방울형님 다음시리즈 기다립니다,0,17,1
개인이요,0,4,1
꼴린다 ..,0,6,1
부산에서는 안하나??ㅠㅠㅠㅠ,1,15,0
승헌형 인제 김태희누나만 바라봐~,1,18,0
사과가 썩는 것은 사과 잘못이 아니다,1,20,0
"재상이형 광대나온거 귀엽내
I like me now~",0,30,1
"벼노인 에서 송강호가
권력은 국민드립도 컷지...
영화를 통한 선동술이 엄청남....ㅎㄷㄷ..
북한이 영화 문화예술로
3대부자 독재 공고히 한것도
그만큼 영화의 파급력이 엄청나기 때문임
지금도..영화판 보면
5,18...일제시대 끄집어낸 반일....
친북 영화가 넘쳐남 ㅎㄷㄷ..",0,164,1
인간의 성욕은 자연적인거다 그것을 나쁘게 여기거나 생각해선 안된다,1,36,0
11111111,1,8,0
진짜 어린앤가?,1,8,0
"새로운 수학을 만들고 싶어서 연구를 하고 있어요.

와 진짜 눈물나게 감동이다.

멋지신 할아버지 선생님, 오래오래 건강하십시요!!",0,77,1
한국식 500일의 썸머?,1,13,0
이 남자.. 진짜 보면 볼 수록 매력적이다..,0,25,1
... 나.라.를 손.절.한.다.,0,18,1
볼만하구만 칭얼대는 저능아세키들이 있네,1,21,0
카엘라인~난캉이니깐...ㅋ,1,14,0
ㅋㅋㅋㅋㅋ,1,5,0
저격당하니까 기분 더럽노,1,13,0
하버드도 웜에 먹혔노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,26,0
밥 딜런이 되지 못한 이들을 위한 연가,1,21,0
한국은 영웅에게 가혹한 국가니까. 자본주의의 열등함이지.,0,31,1
ㅇㅁ,1,2,0
관세음보살~~관세음보살~~,1,14,0
콩은 까야 제맛이지 ㅋㅋㅋ,1,14,0
영국식 개그센스 ㅋㅋ 특히 마지막 영국 여왕 패는거 빵터짐,1,32,0
윀~~~~~,0,6,1
앱충한남뒤져,1,6,0
난 개인적으로 박정희는 위대한 악인이라고 생각한다,0,27,1
현태 보고싶다,0,7,1
sns는 인생의 낭비다,0,12,1
깍두기,0,3,1
박수 ~~~~~~~~,0,11,1
선릉역점이라고 맨처음 봤었는뎅,0,16,1
덕분에기분좋아졌다ㅎ,0,10,1
개새끼_문재인을 바라보는 포항여고 여고생들의 미소는 진짜가 아닌 것 같음 ㅎㅎ,0,43,1
진짜 타위밍이 안좋앗어..,1,14,0
진보는 진짜 못말린다.,0,12,1
솔직한게 최고야.,0,9,1
웃음의대학이 한수위,1,10,0
범인 OO새끼야 애를 상대로 돈을 뺐는게 인간이냐 OO새끼야 자수하라 제발 어그로 작작 끌고,1,51,0
최강미국,0,4,1
개돼지 썩창 마인드를 버려라,1,15,0
이대호도.,0,5,1
꽃 빨아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 짱이었어요,1,34,0
우린 팀킬 안해요~,0,10,1
팔로잉보고 8번 뿜엌~,0,12,1
zz,0,2,1
분위기가 압도한다,1,9,0
그래도 이번엔 혼자서 고생하는건 아니군 둘이네,1,25,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남자맞냐,1,14,0
ㅋㅋㅋ 이것도 잘만들었네,0,13,1
역사는 돌고도네,0,8,1
한국에 한 목사가 안전한 땅에 목회자수나 교회 크기에 연연하기보다 정말 미지의 땅에 총을 들고 아이를 지키기 위해 반정부군과 싸우며 포교활동했다면 존경할 것이다.,1,90,0
"귀만 얼얼하고, 화약냄새도 싫고, 군대있을때 총쏘는게 젤 싫었다.",1,36,0
화사빼고 다 좋은데 ㅋㅋㅋ,0,14,1
더올리라ㅋㅋ잼씀,0,8,1
딱....따..로...게....,0,17,1
허술이 아니라 빈약이겠지,1,13,0
보꾸기,0,3,1
