문장,혐오 여부,문자 개수,y_pred
몸매가 애술임...,1,10,0
입금자 이름 신중하게 보냈노 어서 12시가 되길 바라고있노 희희 박정희,1,39,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ귀엽닥,1,16,0
결혼할 나이가 되니 깐 남의 이야기가 아니네 완죤 공감,1,30,0
"슬비 예쁘지 우현,성열 잘생겼지 그럼됬지",1,22,0
일리네어 11:11 한시간뒤 발매,1,18,0
우리 나라랑 미묘하게 비슷하다...,1,19,0
반대편에 1초라도 앉는게 힘들었을텐데 대단하노ㅋㅋㄱㅋㅋㄱㅋ좆팔ㅋㄱㅋ,1,37,0
문지상 죽으면 안되는데ㅜㅜ,1,14,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,14,0
dl wkrvnadms sork qhkTejs rj wnsrjdp ch,1,39,0
그들이 애국하는 이유.,1,12,0
불심도 부정앞에선 무너지는구나,1,16,0
본인이 만약 철민이라면 영수를 안때릴수가 있을까? 나는 솔직히 자신없다 때려도 화가 안풀릴꺼 같은데...,1,58,0
인간이 넘 많아서 그래..문제는,1,17,0
개이버,1,3,0
위의 증거들을 보고도 헛소리 하는것들은 뇌가 상한듯,1,28,0
한국의 양들은 과도하게 순종적이다,1,18,0
이거 엿날에 했던거임......난 알지롱..,1,24,0
부산에서는 안하나??ㅠㅠㅠㅠ,1,15,0
승헌형 인제 김태희누나만 바라봐~,1,18,0
사과가 썩는 것은 사과 잘못이 아니다,1,20,0
인간의 성욕은 자연적인거다 그것을 나쁘게 여기거나 생각해선 안된다,1,36,0
11111111,1,8,0
진짜 어린앤가?,1,8,0
한국식 500일의 썸머?,1,13,0
볼만하구만 칭얼대는 저능아세키들이 있네,1,21,0
카엘라인~난캉이니깐...ㅋ,1,14,0
ㅋㅋㅋㅋㅋ,1,5,0
저격당하니까 기분 더럽노,1,13,0
하버드도 웜에 먹혔노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,26,0
밥 딜런이 되지 못한 이들을 위한 연가,1,21,0
ㅇㅁ,1,2,0
관세음보살~~관세음보살~~,1,14,0
콩은 까야 제맛이지 ㅋㅋㅋ,1,14,0
영국식 개그센스 ㅋㅋ 특히 마지막 영국 여왕 패는거 빵터짐,1,32,0
앱충한남뒤져,1,6,0
진짜 타위밍이 안좋앗어..,1,14,0
웃음의대학이 한수위,1,10,0
범인 OO새끼야 애를 상대로 돈을 뺐는게 인간이냐 OO새끼야 자수하라 제발 어그로 작작 끌고,1,51,0
개돼지 썩창 마인드를 버려라,1,15,0
꽃 빨아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 짱이었어요,1,34,0
분위기가 압도한다,1,9,0
그래도 이번엔 혼자서 고생하는건 아니군 둘이네,1,25,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ남자맞냐,1,14,0
한국에 한 목사가 안전한 땅에 목회자수나 교회 크기에 연연하기보다 정말 미지의 땅에 총을 들고 아이를 지키기 위해 반정부군과 싸우며 포교활동했다면 존경할 것이다.,1,90,0
"귀만 얼얼하고, 화약냄새도 싫고, 군대있을때 총쏘는게 젤 싫었다.",1,36,0
허술이 아니라 빈약이겠지,1,13,0
American Dream? More like 'American Delusion'!,1,46,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,11,0
좋은놈 찾기가 너무 힘들어. 결국은 모든 이가 전부 악인,1,31,0
혁피 존경합니다 지조도나오는 사람 모두...,1,24,0
전두환 시대를 그리워하는 놈들아 너희들은 그시대에 태어났으면 그냥 맞아죽었어,1,42,0
나도 조국가면 꼭 써먹겠노ㅋㅋㅋ,1,17,0
아하 ㅋ,1,4,0
전당포는 안하시는 우주파괴급 파워 아저씨,1,22,0
으아 담주가 마지막회라니이제 무슨 낙으로 사나 ㅠㅠ,1,28,0
강예원으로 이름을 바꾼거구나,1,15,0
꽃님이 한평생 떡치가 끝나네...,1,18,0
나의왼발..,1,6,0
누구보단 잘할것 같다.,1,12,0
양남이랑 섹스하고싶다 좆팔,1,14,0
한국 범죄 영화 중엔 탑이라고 봄,1,18,0
이러면 조위횽아 다신 한국안올텐데....,1,22,0
했던 말 반복인데? 웜도 물갈이 많이 됐노,1,23,0
오 마이 숄더,1,7,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,21,0
인도판 아이엠샘???,1,11,0
꿈에서 깨어나라!,1,9,0
저 어린이는 구니스...,1,13,0
할스트롬..위대한감각은 사라지지않는다. 잠시 쉬는것 뿐이다.,1,33,0
저렇게 순수하고 맑고 자상하고 잘생긴 소년이 존재하긴 하려나..요즘같은 세상에..?,1,46,0
걍 올려 별들에게 물어봐,1,13,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저런데도 주제파악 못하고 결례 운운하노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅆㅎㅌㅊ라서 개무시한건데 결례는 개뿔,1,70,0
"383 그건 노무 유충을 과대평가한거노 ㅋㅋ
지금 보니 글에 잘 설명을 안 해놓긴 했는데 유충 새끼들 6군대 힘들자나욧! 앵앵!9이라고 말하는 이유는
코리안 워킹 홀리데이 가보지도 않았으면서 벌써 유세 떨려고 저부랄떠는거노 ㅋㅋㅋㅋ
군대에 대한 두려움에 대해 6공감9받고 부둥부둥 받고 싶어서.
저 말 들으면 유충들은 6공감9 못 받았다고 앵앵앵 징징대고 집에가서 스마트폰 게임하고 유투브로 보겸.신태일 볼 생각 밖에 없노.",1,241,0
아직도 여전히 맛이간 맛 방송이 나오는 것은?,1,25,0
나는 믿는다 인간은 진화하며 진하란 곧 선이다,1,25,0
ㄴ 공지보면 신고많이 먹은(10개) 댓글 작성 계정이 차단된다고 하노. 아이피랑 상관없는 것 같다이기야. 만약에 IP 수집하면 계정 여러개 파서 워추/소추 돌리는 것 자체를 못할텐데 말이노,1,105,0
맞다 자매님 예수좆교에서 쓰는 워딩같노,1,21,0
종북새끼 이색끼같은 놈들이 대한민국에 숨어있는한 이들이 탈출한 의미는 없다.,1,42,0
정말 축구는 전세계 스포츠라는걸 증명함,1,21,0
그래도 태양은 그녀의 머리 위에 비추이더라,1,23,0
제목 번역 어느 바보가 한거야. 미스터 뱀파이어로 하면 되지. 웬 강시 선생?,1,43,0
미야자키 하야오 감독이 하신 말쓴을 보아라. 아베정권을 신랄하게 비판하고 은퇴하셨다. 국뽕을 비판하려는 건 아니지만 일단 사람을 깔 때에는 제대로 인과관계를 파악해야 한다.,1,96,0
"색즉시공, 공즉시색.",1,11,0
저 배우들중에 미아 와시코브스카만 생각남,1,22,0
하정우 싸움연습해라 니맞는거 못본다,1,19,0
수진아... 내가 그렇게 싫으냐?...,1,21,0
결국 엇갈린정의에 대해 말하고싶었던거임,1,21,0
그냔줄개 췌장암,1,8,0
정답은 주변인물이 말한다.,1,14,0
그 사이코 가족 웃기냐염 ㅋㅋㅋ,1,17,0
명작이네.,1,5,0
여성부 장관 뺨치는 엄브릿지 연기,1,18,0
재밌다 너 만원짜리 있냐?,1,14,0
기대가 됀다 서인국화이팅,1,13,0
직업에 귀천이 어딨냐. 근데 왜 임창정은 자꾸 거리를 둔거지! 자신이 무능하다고 생각한 건가.,1,52,0
현재 나는 이런 갓파쿠를 만났지!!,1,19,0
이제는 전세계 사람들이 하나가 되어야한다,1,22,0
악의천살 맄퀴,1,7,0
핵재앙의 심각한 환경사고를 적절한 멜러로로 잘풀어감,1,28,0
아프리카를 탈출하다야 아프리카로 탈출하다야? 유아용이에유. 유아들이 보면 좋겠네유.,1,46,0
다른건 몰라도 그래픽은 범죄수준;,1,18,0
모금하겠노,1,5,0
진심은 방황을 졸업시켜줄 이정표다,1,18,0
안 웃긴적이 없더라ㅋㅋ,1,12,0
미국은 안 끼는 곳이 없구나..,1,17,0
독고진 아구지 잘 처맥이네,1,14,0
중국어쩌고 할거없는듯 우리나라도 마찬가지,1,22,0
뻥임,1,2,0
완전재미있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ안본사람 바보임ㅋㅋㅋㅋㅋ,1,85,0
Plan to be surprised.,1,21,0
저OO호새퀴들아 진짜 저혹우 들은 2050년에 먼저 태양에 처박힐나라야ㅅㅂ,1,41,0
키시 아이노 노출수위 어떤가요,1,16,0
캔디따발총의 위력 ㅋㅋㅋ,1,13,0
미친:: 절대안먹어 이제 살빼야지,1,18,0
한남수준에 맞춘 딱 맞는 분석이노. 도태남들 지들이 도태된걸 알지만 믿고싶지 않아하니 염산들이붓고 칼푹찍해서 믿게해줘야한다 이니,1,71,0
카뮈,1,2,0
네,1,1,0
귀신잡는용사 해병 바다의사나이,1,16,0
시원하다~ 양손사격 칼놀림 현란함,1,18,0
이해한다,1,4,0
강인구속,1,4,0
짱이네~,1,4,0
흠.. 돈많고 권력있는것들은 뭐하면서 사나궁금했더니 저러고 사네.. 의식수준을 높히는게 답이다.. 정신적으로 더 깨어나는것만이..,1,72,0
47852752753257,1,14,0
King of PoP,1,11,0
"참신하긴해. 헨젤과 그레텔 오누이 가 또 이젠 대한민국으로와갖고, 마녀사냥 접고 일찐 학생들 사냥해주었으면 좋겠다.헨젤과 그레텔이 마녀사냥 때 했던것처럼,,석궁과 총탄으로 일찐 학생들을 송송 벌집 내줬으면 좋겠구나.헨젤과그레텔-일찐학생 사냥꾼",1,135,0
태양이 없어도 구름에 가린것 뿐이다..,1,21,0
반전반전 앵앵거리지좀마라 좆고딩도 아니고 쯧쯧..,1,27,0
"고대수야 해진, 해보, 악화, 손신, 손립은 어따 갔다버림?",1,33,0
낭나댜지냐차리개답즈나이라라랑대대다아이이츠아니닟탗타ㅏㅇ앵대ㅏ앙애애애이다ㅣㅏㅈ닺ㄷ,1,43,0
日本映?の低力。幸せだよ。,1,13,0
천재 일수도 있잖니...!,1,14,0
진짜 6점은 아니다. 눈들이 똥구멍에 달렸나,1,24,0
언젠가 오감으로 클래식을 즐길 날이 오겠지?,1,24,0
진심 노잼;보지마라 시간아깝다,1,16,0
새로운 시도 언제나 발전하는 한국 문화계!,1,23,0
기레기들은 잘 좀봐라K M J Y D 등,1,22,0
공존으로 가는 길,1,9,0
굳ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,1,17,0
우와 ㅋ,1,4,0
ㄱㅆㄹㅇ 원래 다~그래 따위 안 통 하고요 ^됬^,1,27,0
나도 저렇게 늙고싶다.,1,12,0
최민식 짱 나이트 클럽 영업 전쟁 살아있네 아들한테도 물려주기 세관 공무원 최민식은 머리 하정우는 주먹,1,57,0
나이키 신발이 사고싶어졌다 ㅋㅋㅋㅋㅋ,1,20,0
이 얼마나 추악한 세상이냐,1,14,0
ㅋㅋㅋ 야경꾼 일지 정일우 화이팅 !! 야경꾼 일지 지금 부터가 시작 이니까 많은 신청 부탁드려용!!,1,56,0
봊간지노ㅋㅋㅋㅋㅋ 나도 힘주겠노,1,17,0
나는 역전만 본다^-----^,1,16,0
원래 시간 많고 여유있으면 연애광 -> 호색한 -> 변태가 되는 법이지,1,39,0
노출은 있는데 이상하게도 아름답게 보이지??,1,24,0
한결같은 이중좆대,1,9,0
왠지 김연아 크면 에리카처럼 될것같음.,1,21,0
집으로 돌아간다 집으로..,1,14,0
흑백 아니야 임마 관심 병자 새끼,1,18,0
님아 서진은 오나라가 멸망하기 전에도 있었어요(사마염이 통일) 니는 약간바보임,1,43,0
저마다 죄책감을 잊으려 발버둥 처본다,1,20,0
김경탁 쵝5,1,6,0
서스펜스를 철저하게 접목시킨 애간장 녹는 실화,1,25,0
좆센 유전자풀 좆창난지 오래. 사실상 근친상간이다 한남충들은 유전병덩어리임,1,41,0
아그리고 되게 신기한거 하나는 내가 그렇게 문제제기 하니까 자기는 전혀 모르더라. 그게 왜 문제야~~? 하면서 ㅋㅋㅋㅋㅋ ,1,68,0
알바 색들 겁나 많네. 그런데 취업하니 행복하냐? 언론조작단도 모자라 평점까지 조작 이런 XXX들.,1,55,0
맞노ㅋㅋㅋㅋㅋ 대학생활에서고 능력 좆나 없는 새끼들이 여기저기 붙어먹으면서 기생하더노. 혼자 밥 먹을줄도 몰라서 벌벌 떠노. ,1,70,0
임아행이 낳냐 영호충이 낳냐,1,15,0
